month,day,chapter,verse
09,16,욜,1-3
09,17,암,1-5
09,18,암,6-9
09,19,"옵,욘",전체
09,20,미,1-4
09,21,미,5-7
09,22,나,1-3
09,23,합,1-3
09,24,습,1-3
09,25,학,1-2
09,26,슥,1-4
09,27,슥,5-8
09,28,슥,9-11
09,29,슥,12-14
09,30,말,1-4
09,31,없음,없음
10,01,마,1-2
10,02,마,3-4
10,03,마,5-6
10,04,마,7-8
10,05,마,9-10
10,06,마,11-12
10,07,마,13
10,08,마,14-15
10,09,마,16-17
10,10,마,18-19
10,11,마,20-21
10,12,마,22-23
10,13,마,24-25
10,14,마,26
10,15,마,27-28
10,16,막,1-2
10,17,막,3-4
10,18,막,5-6
10,19,막,7-8
10,20,막,9
10,21,막,10
10,22,막,11-12
10,23,막,13-14
10,24,막,15-16
10,25,눅,1
10,26,눅,2-3
10,27,눅,4-5
10,28,눅,6-7
10,29,눅,8-9
10,30,눅,10-11
10,31,눅,12-13
11,01,눅,14-15
11,02,눅,16-17
11,03,눅,18-19
11,04,눅,20-21
11,05,눅,22-23
11,06,눅,24
11,07,요,1-2
11,08,요,3-4
11,09,요,5
11,10,요,6
11,11,요,7
11,12,요,8
11,13,요,9-10
11,14,요,11
11,15,요,12-14
11,16,요,15-18
11,17,요,19-21
11,18,행,1-4
11,19,행,5-8
11,20,행,9-12
11,21,행,13-16
11,22,행,17-20
11,23,행,21-24
11,24,행,25-28
11,25,롬,1-2
11,26,롬,3-4
11,27,롬,5-8
11,28,롬,9-12
11,29,롬,13-16
11,30,고전,1-4
11,31,없음,없음
12,01,고전,5-8
12,02,고전,9-12
12,03,고전,13-16
12,04,고후,1-4
12,05,고후,5-8
12,06,고후,9-13
12,07,갈,1-6
12,08,엡,1-6
12,09,빌,1-4
12,10,골,1-4
12,11,살전,1-5
12,12,살후,1-3
12,13,딤전,1-3
12,14,딤전,4-6
12,15,딤후,1-4
12,16,"딛,몬",전체
12,17,히,1-4
12,18,히,5-8
12,19,히,9-13
12,20,약,1-5
12,21,벧전,1-5
12,22,벧후,1-3
12,23,요일,1-3
12,24,요일,4-5
12,25,"요이,요삼,유",전체
12,26,계,1-4
12,27,계,5-8
12,28,계,9-12
12,29,계,13-15
12,30,계,16-19
12,31,계,20-22
